127.0.0.1 - - [19/Dec/2020:19:54:43 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:54:47 +0630] "GET /05-EL/ HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:54:47 +0630] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:59:12 +0630] "GET /05-EL/ HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:00:06 +0630] "GET /05-EL/ HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:00:28 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:00:32 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:00:33 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:00:38 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:00:38 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:00:39 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:00:39 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:00:39 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:00:39 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:14:30 +0630] "GET /05-EL/ HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:14:39 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:21:05 +0630] "GET /05-EL/ HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:21:28 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:25:52 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:25:53 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:25:58 +0630] "GET /05-EL/ HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:30:33 +0630] "GET /05-EL/ HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:30:40 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:33:17 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [19/Dec/2020:20:33:38 +0630] "GET /05-EL/?uname=Pyae&email=pyaephyotinttint44%40gmail.com&address=Pyin+Oo+Lwin HTTP/1.1" 200 808
